# Renewables.ninja Solar PV (Point API) - 51.129, -0.898 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""51.129283751185376"""," ""lon"": ""-0.8984374999615151"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,0,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,0,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,0,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,0,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,0,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,0,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,0,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,0,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,0.001,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,0.019,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,0.045,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,0.052,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,0.06,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,0.051,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,0.035,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,0.007,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,0,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,0,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,0,,,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,0,,,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,0,,,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,0,,,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,0,,,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,0,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 00:00,0,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 01:00,0,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 02:00,0,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 03:00,0,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 04:00,0,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 05:00,0,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 06:00,0,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 07:00,0,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 08:00,0.033,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 09:00,0.17,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 10:00,0.329,,,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 11:00,0.401,,,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 12:00,0.395,,,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 13:00,0.328,,,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 14:00,0.196,,,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 15:00,0.046,,,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 16:00,0,,,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 17:00,0,,,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 18:00,0,,,,,,,,,,,,,
02/01/2019 19:00,02/01/2019 19:00,0,,,,,,,,,,,,,
02/01/2019 20:00,02/01/2019 20:00,0,,,,,,,,,,,,,
02/01/2019 21:00,02/01/2019 21:00,0,,,,,,,,,,,,,
02/01/2019 22:00,02/01/2019 22:00,0,,,,,,,,,,,,,
02/01/2019 23:00,02/01/2019 23:00,0,,,,,,,,,,,,,
03/01/2019 00:00,03/01/2019 00:00,0,,,,,,,,,,,,,
03/01/2019 01:00,03/01/2019 01:00,0,,,,,,,,,,,,,
03/01/2019 02:00,03/01/2019 02:00,0,,,,,,,,,,,,,
03/01/2019 03:00,03/01/2019 03:00,0,,,,,,,,,,,,,
03/01/2019 04:00,03/01/2019 04:00,0,,,,,,,,,,,,,
03/01/2019 05:00,03/01/2019 05:00,0,,,,,,,,,,,,,
03/01/2019 06:00,03/01/2019 06:00,0,,,,,,,,,,,,,
03/01/2019 07:00,03/01/2019 07:00,0,,,,,,,,,,,,,
03/01/2019 08:00,03/01/2019 08:00,0.012,,,,,,,,,,,,,
03/01/2019 09:00,03/01/2019 09:00,0.084,,,,,,,,,,,,,
03/01/2019 10:00,03/01/2019 10:00,0.178,,,,,,,,,,,,,
03/01/2019 11:00,03/01/2019 11:00,0.236,,,,,,,,,,,,,
03/01/2019 12:00,03/01/2019 12:00,0.2,,,,,,,,,,,,,
03/01/2019 13:00,03/01/2019 13:00,0.152,,,,,,,,,,,,,
03/01/2019 14:00,03/01/2019 14:00,0.088,,,,,,,,,,,,,
03/01/2019 15:00,03/01/2019 15:00,0.02,,,,,,,,,,,,,
03/01/2019 16:00,03/01/2019 16:00,0,,,,,,,,,,,,,
03/01/2019 17:00,03/01/2019 17:00,0,,,,,,,,,,,,,
03/01/2019 18:00,03/01/2019 18:00,0,,,,,,,,,,,,,
